@relation Dataset

@attribute AdministracaoSistema REAL
@attribute Compra REAL
@attribute Venda REAL
@attribute Transferencia REAL
@attribute Estoque REAL
@attribute Financeiro REAL
@attribute Fiscal REAL
@attribute Relatorio REAL
@attribute SNGPC REAL
@attribute Integracao REAL
@attribute Client REAL
@attribute Crediario REAL
@attribute Ecommerce REAL
@attribute PBM REAL
@attribute Servidor REAL
@attribute Geral REAL
@attribute Pontuacao REAL
@attribute Classificação {verde,amarelo,vermelho}

@DATA
5,5,10,90,6,4,2,60,9,60,7,7,60,9,7,10,351,verde
60,5,5,62,2,10,6,5,8,68,9,2,68,2,7,6,325,verde
61,8,4,57,9,10,7,2,5,67,1,9,70,7,6,10,333,verde
3,1,10,68,10,5,7,99,5,84,10,10,57,3,2,9,383,verde
99,9,10,55,3,2,4,7,4,85,2,2,61,6,4,5,358,verde
5,1,10,56,6,6,5,63,7,99,10,6,57,1,5,9,346,verde
68,2,3,57,10,6,4,8,10,61,2,7,59,9,6,4,316,verde
8,3,3,54,6,7,8,67,2,62,3,7,56,8,8,3,305,verde
68,4,6,71,10,10,4,10,6,63,7,10,55,10,9,2,345,verde
1,2,10,99,5,1,6,99,3,84,3,4,54,6,5,8,390,verde
57,2,6,90,1,1,4,6,4,85,1,5,90,7,6,3,368,verde
9,60,90,4,60,61,9,8,9,2,7,60,6,9,8,4,406,amarelo
4,61,2,6,59,10,99,3,6,10,8,99,9,7,8,1,392,amarelo
7,6,99,6,68,99,8,6,10,7,1,59,4,1,10,2,393,amarelo
6,68,7,10,8,60,61,7,9,3,2,61,3,3,1,1,310,amarelo
4,5,63,7,68,57,5,10,2,8,9,58,8,10,1,10,325,amarelo
2,85,1,3,99,1,66,2,10,2,4,68,10,10,2,7,372,amarelo
1,2,109,10,2,61,60,3,4,8,9,62,7,7,5,9,359,amarelo
4,68,10,7,60,99,4,5,9,10,5,63,3,2,2,10,361,amarelo
1,4,99,2,68,7,99,2,8,7,2,60,7,6,3,3,378,amarelo
6,59,1,7,8,60,61,8,8,7,3,99,1,3,10,2,343,amarelo
1,2,57,4,57,68,1,4,9,7,4,59,3,6,4,7,293,amarelo
8,59,8,7,8,99,62,10,4,5,6,57,1,7,1,4,346,amarelo
7,7,99,5,62,60,2,8,6,10,10,56,7,5,5,1,350,amarelo
3,61,3,3,5,99,68,1,7,2,6,55,10,8,7,2,340,amarelo
6,10,60,8,67,60,6,2,9,9,3,61,8,6,6,8,329,amarelo
6,57,2,5,60,1,60,6,9,8,8,60,5,4,8,8,307,amarelo
5,3,7,7,6,3,6,6,3,1,60,7,9,60,99,59,341,vermelho
4,4,4,1,6,2,4,5,5,2,61,5,1,84,61,99,348,vermelho
5,6,7,2,8,3,2,8,6,6,99,8,5,85,62,57,369,vermelho
7,10,7,6,5,6,3,3,6,3,84,7,6,86,63,60,362,vermelho
6,6,4,9,10,10,9,5,4,1,59,7,3,67,84,61,345,vermelho
2,10,3,1,3,9,9,4,7,8,57,2,8,99,85,62,369,vermelho
10,4,4,5,4,6,3,3,7,10,56,1,5,59,99,63,339,vermelho
6,8,6,10,2,10,6,1,4,5,61,3,4,57,59,84,326,vermelho
1,6,3,4,3,2,1,1,5,9,62,2,10,56,57,61,283,vermelho
2,10,8,2,2,9,4,3,9,5,63,10,5,60,56,99,347,vermelho
9,6,8,1,7,1,10,6,5,2,60,7,3,63,61,59,308,vermelho
3,4,3,5,8,5,9,1,8,7,68,9,1,84,60,57,332,vermelho
8,6,5,10,5,7,8,2,2,2,57,2,2,60,62,60,298,vermelho
1,3,6,10,5,9,5,10,1,5,59,4,2,61,63,62,306,vermelho
2,9,10,7,3,3,1,9,5,9,84,10,9,62,84,63,370,vermelho
2,1,5,5,9,5,6,5,10,5,85,6,7,63,85,84,383,vermelho
59,10,5,60,7,8,8,10,9,60,8,7,99,6,10,4,370,verde
10,4,9,90,2,5,1,60,10,60,3,10,60,10,5,10,349,verde
60,9,1,62,8,10,5,2,9,68,8,9,68,3,6,9,337,verde
61,4,4,57,1,9,2,9,9,67,6,8,70,4,6,8,325,verde
7,9,1,68,2,7,3,99,10,84,6,5,57,5,5,4,372,verde
99,7,3,55,3,9,7,3,5,85,5,4,61,1,9,6,362,verde
5,7,10,56,7,8,5,63,6,99,6,10,57,10,10,9,368,verde
68,2,6,57,2,2,3,9,10,61,7,4,59,2,3,1,296,verde
10,8,5,54,10,3,1,67,4,62,1,7,56,5,6,6,305,verde
68,8,9,71,5,7,7,8,5,63,5,6,55,2,1,9,329,verde
5,1,5,99,5,3,8,99,9,84,4,5,54,5,9,10,405,verde
57,7,6,90,1,1,6,3,7,85,10,9,90,4,9,3,388,verde
4,60,90,8,60,61,3,1,10,10,1,60,1,2,7,7,385,amarelo
5,61,6,8,59,9,99,10,7,6,5,99,6,7,6,9,402,amarelo
2,9,99,1,68,99,4,5,10,4,9,59,4,5,3,9,390,amarelo
1,68,4,4,8,60,61,8,10,9,7,61,2,1,1,10,315,amarelo
10,10,63,1,68,57,5,10,1,3,7,58,2,7,2,6,310,amarelo
6,85,4,4,99,4,66,1,6,9,10,68,5,4,10,9,390,amarelo
9,9,109,2,10,61,60,5,1,1,1,62,5,5,7,5,352,amarelo
1,68,3,4,60,99,1,2,9,8,10,63,4,3,7,4,346,amarelo
10,2,99,2,68,6,99,9,4,4,4,60,3,6,10,7,393,amarelo
6,59,1,1,6,60,61,6,3,5,4,99,9,4,10,5,339,amarelo
6,5,57,3,57,68,6,8,4,8,5,59,8,4,6,7,311,amarelo
8,59,3,3,10,99,62,1,8,9,6,57,4,6,9,2,346,amarelo
9,1,99,6,62,60,2,5,10,4,4,56,4,5,4,10,341,amarelo
6,61,5,1,5,99,68,1,1,4,9,55,1,9,10,1,336,amarelo
1,5,60,1,67,60,3,9,4,9,8,61,6,4,9,4,311,amarelo
2,57,4,2,60,7,60,1,3,4,4,60,8,5,2,1,280,amarelo
10,3,6,3,3,8,7,3,5,7,60,6,5,60,99,59,344,vermelho
3,4,10,5,8,1,4,6,6,3,61,4,7,84,61,99,366,vermelho
9,7,5,4,6,3,7,4,10,5,99,7,1,85,62,57,371,vermelho
1,9,5,8,10,6,8,10,4,7,84,1,2,86,63,60,364,vermelho
9,1,7,9,2,1,8,7,9,8,59,9,4,67,84,61,345,vermelho
5,4,2,1,2,8,6,10,4,8,57,6,2,99,85,62,361,vermelho
7,8,10,1,6,5,7,5,8,3,56,4,8,59,99,63,349,vermelho
5,10,10,8,10,4,3,2,6,5,61,8,10,57,59,84,342,vermelho
4,9,7,4,4,1,1,7,2,2,62,1,2,56,57,61,280,vermelho
6,8,1,3,4,8,4,10,8,10,63,10,8,60,56,99,358,vermelho
9,9,8,6,3,2,1,2,4,3,60,6,7,63,61,59,303,vermelho
6,8,6,2,4,6,9,2,9,6,68,10,1,84,60,57,338,vermelho
3,2,8,3,5,4,7,7,1,5,57,3,6,60,62,60,293,vermelho
3,2,7,1,1,10,10,9,10,4,59,8,10,61,63,62,320,vermelho
6,3,4,6,2,4,3,4,1,8,84,4,6,62,84,63,344,vermelho
10,5,9,8,3,9,1,7,5,1,85,6,6,63,85,84,387,vermelho
79,6,3,80,4,6,7,1,8,80,1,6,99,9,6,2,397,verde
2,1,6,90,6,3,9,80,5,60,5,9,80,6,10,7,379,verde
60,4,7,102,2,2,8,1,8,88,3,6,88,8,10,8,405,verde
81,7,5,77,3,4,1,6,9,87,6,6,70,2,4,6,374,verde
5,4,8,88,3,10,5,99,6,84,4,10,77,2,9,4,418,verde
99,10,10,75,6,9,1,10,4,85,4,5,81,2,1,7,409,verde
7,3,9,76,10,4,10,103,7,99,4,2,77,1,2,6,420,verde
68,6,9,77,10,3,1,3,5,81,9,5,79,6,8,2,372,verde
5,4,4,74,1,3,9,107,5,82,6,7,76,6,1,7,397,verde
88,3,10,71,8,10,10,7,9,83,5,9,75,4,6,9,407,verde
9,8,2,99,8,9,10,99,2,84,1,10,94,9,2,6,452,verde
77,8,9,90,4,3,2,4,9,85,1,5,90,4,8,7,406,verde
7,80,90,2,80,81,5,4,2,5,5,80,3,2,1,4,451,amarelo
6,81,6,8,79,3,99,10,3,4,4,99,2,9,2,6,421,amarelo
10,9,99,3,88,99,5,6,9,4,7,79,5,9,7,5,444,amarelo
5,88,4,6,7,80,81,6,6,8,2,81,3,2,7,3,389,amarelo
3,1,103,5,88,77,7,10,3,3,8,78,3,6,6,7,408,amarelo
4,105,10,9,99,2,66,7,10,3,6,88,7,3,1,1,421,amarelo
7,6,109,5,4,81,80,10,9,3,7,102,3,5,6,10,447,amarelo
5,88,5,10,80,99,8,7,2,6,5,103,9,6,4,4,441,amarelo
10,8,99,4,88,3,99,2,7,1,10,80,4,8,8,10,441,amarelo
7,79,10,10,5,80,81,7,2,4,9,99,2,9,7,2,413,amarelo
8,9,77,8,77,88,10,7,8,2,3,79,6,4,1,3,390,amarelo
3,79,9,10,9,99,102,2,8,8,6,77,7,8,7,8,442,amarelo
2,9,99,2,102,80,4,3,5,10,10,76,7,9,3,5,426,amarelo
6,81,5,8,9,99,88,5,1,7,6,75,9,3,3,5,410,amarelo
3,5,80,8,107,80,2,1,8,7,4,81,4,7,1,2,400,amarelo
3,77,2,7,80,1,80,7,8,3,3,80,2,10,6,9,378,amarelo
3,6,2,10,7,7,3,6,3,2,80,6,8,80,99,79,401,vermelho
1,1,1,8,10,6,6,10,3,10,81,10,3,104,81,99,434,vermelho
9,8,8,9,5,5,9,6,6,8,99,7,6,105,102,77,469,vermelho
1,3,2,9,9,5,4,9,3,8,104,6,3,106,103,80,455,vermelho
3,8,5,8,2,3,2,2,9,10,79,2,4,107,104,81,429,vermelho
8,8,7,3,2,6,8,7,3,1,77,8,5,99,105,102,449,vermelho
5,7,7,6,8,3,7,6,3,1,76,10,8,79,99,103,428,vermelho
3,1,7,6,3,4,6,6,9,2,81,7,2,77,79,104,397,vermelho
5,4,3,7,10,2,9,2,2,4,102,5,5,76,77,81,394,vermelho
9,1,5,2,6,5,6,9,4,8,103,6,10,80,76,99,429,vermelho
2,3,1,2,3,10,6,7,4,3,80,2,7,103,81,79,393,vermelho
6,8,1,2,2,6,1,5,10,2,88,2,7,104,80,77,401,vermelho
2,3,6,1,4,1,1,6,5,9,77,8,6,80,102,80,391,vermelho
2,7,9,5,10,6,8,2,2,4,79,5,10,81,103,102,435,vermelho
4,3,7,9,9,9,4,7,5,2,104,8,10,102,104,103,490,vermelho
2,3,7,1,3,5,3,4,1,10,105,6,7,103,105,104,469,vermelho
79,2,6,80,2,2,1,9,3,80,7,7,99,3,2,9,391,verde
4,6,3,90,3,4,3,80,4,60,8,9,80,8,3,7,372,verde
60,2,9,102,7,5,2,9,1,88,1,4,88,9,2,6,395,verde
81,7,2,77,2,6,5,6,9,87,5,9,70,1,3,2,372,verde
3,7,2,88,3,8,4,99,6,84,7,10,77,6,7,7,418,verde
99,4,6,75,10,10,10,10,8,85,1,2,81,2,9,6,418,verde
5,3,7,76,7,10,4,103,6,99,9,6,77,2,9,10,433,verde
68,4,8,77,8,2,3,3,5,81,6,7,79,2,3,1,357,verde
7,9,1,74,9,1,6,107,2,82,4,8,76,5,9,5,405,verde
