@relation Dataset

@attribute AdministracaoSistema REAL
@attribute Compra REAL
@attribute Venda REAL
@attribute Transferencia REAL
@attribute Estoque REAL
@attribute Financeiro REAL
@attribute Fiscal REAL
@attribute Relatorio REAL
@attribute SNGPC REAL
@attribute Integracao REAL
@attribute Client REAL
@attribute Crediario REAL
@attribute Ecommerce REAL
@attribute PBM REAL
@attribute Servidor REAL
@attribute Geral REAL
@attribute Pontuacao REAL
@attribute Classificação {verde,amarelo,vermelho}

@DATA
98,3,14,200,12,6,2,2,6,80,4,11,99,11,11,8,467,verde
13,3,6,90,3,12,5,200,8,60,13,6,80,2,11,9,421,verde
60,12,2,202,9,8,9,1,3,88,3,1,88,11,11,6,414,verde
201,8,14,77,9,20,3,4,14,87,5,14,70,13,9,13,451,verde
8,2,1,88,9,3,9,99,15,84,5,7,77,13,7,8,435,verde
99,4,20,75,6,7,12,1,12,85,1,5,201,12,11,1,442,verde
1,11,6,76,8,9,2,203,9,99,2,2,97,11,9,7,452,verde
68,14,15,77,2,6,8,4,5,81,3,7,98,11,20,9,418,verde
6,7,3,74,20,15,20,207,6,82,4,15,96,12,14,7,468,verde
88,8,2,71,11,2,5,6,14,83,7,5,95,8,2,2,409,verde
13,11,15,99,12,6,9,99,11,84,1,5,94,11,14,2,486,verde
77,20,14,90,5,7,2,9,8,85,2,3,90,15,13,4,434,verde
4,200,90,15,200,201,5,4,8,14,4,200,4,6,1,8,564,amarelo
8,201,13,3,98,13,99,15,20,20,7,99,2,14,5,6,503,amarelo
13,1,99,12,88,99,3,6,1,14,3,98,9,9,20,12,477,amarelo
11,88,14,3,8,200,201,11,7,14,2,201,14,4,3,8,489,amarelo
5,12,203,8,88,77,2,15,14,20,9,78,1,12,2,7,443,amarelo
20,205,4,6,99,20,66,13,12,8,20,88,3,9,2,1,446,amarelo
13,7,209,14,14,201,200,12,7,6,12,202,12,9,12,5,535,amarelo
11,88,14,11,200,99,7,5,1,5,14,203,4,8,7,8,485,amarelo
8,11,99,1,88,14,99,8,12,20,20,200,14,12,2,11,499,amarelo
4,98,9,5,5,200,201,13,2,15,20,99,1,1,4,2,469,amarelo
2,3,97,8,77,88,3,15,13,14,8,98,12,6,12,8,464,amarelo
7,98,1,8,7,99,202,4,20,9,15,97,6,7,6,9,485,amarelo
9,20,99,12,202,200,14,8,8,3,20,96,20,5,20,8,504,amarelo
12,201,13,1,20,99,88,9,9,13,6,95,7,3,13,7,486,amarelo
2,9,200,3,207,200,6,8,5,2,6,201,9,13,11,11,493,amarelo
4,77,13,8,200,12,200,9,3,5,20,200,2,13,7,8,471,amarelo
6,11,7,7,11,7,2,4,11,5,200,9,20,200,99,98,487,vermelho
6,6,5,8,2,15,9,12,4,14,201,2,5,204,201,99,493,vermelho
8,13,2,11,14,15,15,12,2,5,99,1,7,205,202,97,508,vermelho
20,15,11,8,11,6,9,9,11,8,204,5,7,206,203,200,523,vermelho
13,1,15,3,4,3,8,1,5,5,98,7,9,207,204,201,484,vermelho
11,11,7,5,3,11,11,11,8,7,97,13,15,99,205,202,516,vermelho
7,14,12,14,6,13,5,20,9,20,96,15,5,98,99,203,516,vermelho
7,12,1,11,3,14,7,5,9,8,201,15,1,97,98,204,493,vermelho
7,7,5,12,12,11,3,2,3,2,202,20,12,96,97,201,482,vermelho
8,3,12,2,12,6,5,5,7,12,203,7,9,200,96,99,486,vermelho
9,15,6,7,14,14,6,9,14,2,80,9,11,203,201,98,498,vermelho
3,20,8,6,12,13,8,12,4,11,88,9,5,204,200,97,490,vermelho
6,3,7,2,3,9,11,12,11,5,97,5,1,200,202,200,474,vermelho
14,11,6,4,7,15,2,7,2,7,98,12,13,201,203,202,504,vermelho
4,7,7,14,7,5,15,11,4,1,204,2,3,202,204,203,493,vermelho
12,14,5,8,4,15,20,20,8,5,205,8,6,203,205,204,522,vermelho
98,11,7,200,12,20,13,5,3,80,4,9,99,7,3,9,470,verde
6,15,3,90,9,7,14,200,11,60,11,6,80,11,15,12,450,verde
60,6,3,202,6,2,15,7,12,88,20,2,88,9,6,5,421,verde
201,2,13,77,3,14,9,14,1,87,12,12,70,1,3,4,423,verde
5,20,12,88,5,6,7,99,3,84,14,14,77,8,13,20,455,verde
99,2,1,75,5,12,20,3,2,85,7,2,201,5,13,7,429,verde
15,20,15,76,2,13,13,203,9,99,15,12,97,3,6,11,499,verde
68,13,9,77,3,11,7,8,15,81,2,20,98,9,4,7,422,verde
20,15,14,74,6,11,12,207,15,82,7,15,96,7,3,7,481,verde
88,6,7,71,3,7,8,9,14,83,13,14,95,12,2,13,445,verde
11,9,11,99,5,5,20,99,4,84,4,20,94,13,7,12,477,verde
77,11,6,90,7,13,20,1,12,85,12,13,90,11,15,1,454,verde
7,200,90,8,200,201,1,5,9,5,14,200,3,20,20,13,576,amarelo
6,201,11,14,98,15,99,12,15,8,7,99,13,4,11,9,522,amarelo
14,13,99,1,88,99,5,20,6,8,2,98,20,15,15,3,486,amarelo
12,88,5,7,11,200,201,8,1,6,8,201,1,4,5,20,468,amarelo
14,2,203,15,88,77,13,9,4,6,5,78,4,14,3,7,442,amarelo
1,205,11,1,99,4,66,20,2,6,4,88,6,4,14,11,432,amarelo
11,3,209,14,5,201,200,14,1,8,2,202,14,2,14,5,505,amarelo
1,88,5,6,200,99,20,6,8,3,12,203,20,7,7,2,467,amarelo
12,20,99,3,88,1,99,1,9,15,7,200,13,2,3,14,476,amarelo
9,98,12,6,3,200,201,6,11,11,5,99,11,4,12,2,490,amarelo
20,4,97,20,77,88,7,4,3,8,1,98,9,12,15,8,451,amarelo
3,98,14,5,11,99,202,9,11,8,1,97,7,14,20,1,490,amarelo
6,14,99,2,202,200,12,14,12,3,20,96,9,11,3,15,508,amarelo
13,201,20,4,2,99,88,6,5,3,12,95,12,13,5,1,469,amarelo
7,9,200,9,207,200,14,2,6,11,8,201,14,20,13,11,522,amarelo
2,77,11,15,200,13,200,12,4,3,8,200,12,7,1,14,479,amarelo
11,9,2,13,3,8,9,7,13,12,200,15,9,200,99,98,508,vermelho
14,8,5,13,1,11,3,8,5,4,201,3,4,204,201,99,484,vermelho
11,4,6,12,9,5,7,20,3,14,99,1,4,205,202,97,489,vermelho
1,1,1,8,7,20,5,20,2,2,204,12,9,206,203,200,481,vermelho
15,14,2,7,13,1,1,3,7,3,98,1,1,207,204,201,478,vermelho
9,5,9,3,8,11,8,5,13,9,97,12,20,99,205,202,505,vermelho
11,5,7,2,4,15,4,7,2,1,96,15,20,98,99,203,479,vermelho
11,13,3,8,1,3,5,6,20,13,201,5,15,97,98,204,493,vermelho
15,14,4,12,13,13,6,6,7,3,202,15,15,96,97,201,519,vermelho
9,9,1,2,5,15,11,4,2,7,203,9,15,200,96,99,487,vermelho
8,11,3,5,14,9,1,13,4,15,80,2,14,203,201,98,481,vermelho
9,2,3,2,1,12,2,20,6,13,88,11,8,204,200,97,468,vermelho
3,9,14,13,6,1,6,20,14,1,97,20,11,200,202,200,497,vermelho
3,6,13,5,20,8,8,9,7,6,98,14,14,201,203,202,507,vermelho
3,9,8,13,6,9,20,5,14,9,204,2,14,202,204,203,515,vermelho
14,8,8,1,5,13,4,3,11,4,205,4,4,203,205,204,496,vermelho
98,3,14,200,7,1,6,1,6,80,11,14,99,11,6,9,466,verde
12,11,6,90,9,9,13,200,9,60,1,7,80,14,13,11,445,verde
60,3,7,202,12,8,5,14,1,88,4,4,88,1,12,9,418,verde
201,6,4,77,15,6,13,11,11,87,14,20,70,14,3,6,448,verde
15,9,9,88,12,5,14,99,5,84,12,15,77,14,20,9,477,verde
99,13,1,75,9,6,2,5,4,85,20,1,201,1,9,11,432,verde
4,2,3,76,6,12,4,203,3,99,6,4,97,7,1,11,438,verde
68,8,6,77,6,13,11,20,6,81,9,14,98,6,9,8,430,verde
1,15,6,74,3,14,2,207,14,82,15,15,96,13,11,15,483,verde
88,12,7,71,11,14,1,1,2,83,1,4,95,14,15,2,421,verde
6,13,20,99,7,8,15,99,7,84,13,11,94,9,12,2,489,verde
77,12,5,90,3,9,9,8,1,85,15,12,90,4,2,5,427,verde
12,200,90,3,200,201,1,6,1,12,15,200,12,1,14,15,583,amarelo
13,201,15,20,98,5,99,20,12,20,1,99,15,7,9,14,518,amarelo
3,9,99,15,88,99,20,6,7,11,2,98,14,1,8,1,471,amarelo
1,88,3,5,12,200,201,3,20,6,11,201,1,11,2,12,467,amarelo
9,12,203,6,88,77,2,11,7,2,1,78,3,20,12,1,422,amarelo
20,205,3,1,99,9,66,12,11,15,13,88,15,1,5,2,455,amarelo
13,20,209,4,13,201,200,15,8,1,5,202,1,9,2,6,499,amarelo
4,88,15,5,200,99,12,12,6,6,8,203,6,8,1,11,484,amarelo
9,14,99,11,88,4,99,11,12,1,15,200,8,15,8,6,500,amarelo
9,98,6,1,15,200,201,3,20,6,3,99,5,15,15,15,501,amarelo
7,11,97,7,77,88,20,4,14,11,3,98,11,12,14,6,470,amarelo
9,98,12,5,3,99,202,4,8,12,13,97,4,11,13,7,497,amarelo
5,6,99,6,202,200,5,1,3,7,12,96,9,2,13,11,477,amarelo
8,201,12,6,12,99,88,15,15,6,3,95,12,6,9,9,496,amarelo
11,11,200,13,207,200,14,4,3,15,6,201,14,5,9,9,522,amarelo
4,77,15,7,200,7,200,8,6,9,4,200,12,7,7,20,473,amarelo
15,6,4,12,1,20,5,9,7,4,200,14,4,200,99,98,488,vermelho
1,20,5,15,15,3,12,7,15,13,201,15,11,204,201,99,527,vermelho
3,3,8,7,14,6,5,5,20,1,99,1,4,205,202,97,470,vermelho
9,4,2,2,9,9,1,5,7,7,204,4,5,206,203,200,477,vermelho
5,12,8,14,3,11,4,14,8,1,98,12,2,207,204,201,504,vermelho
11,8,3,9,20,8,4,15,3,12,97,3,20,99,205,202,499,vermelho
7,14,20,1,13,3,15,14,11,3,96,3,6,98,99,203,496,vermelho
1,2,1,7,9,8,6,8,15,6,201,7,3,97,98,204,473,vermelho
4,13,12,4,20,14,14,8,5,6,202,15,3,96,97,201,504,vermelho
8,15,15,13,7,14,12,20,8,4,203,14,20,200,96,99,528,vermelho
4,11,4,3,6,9,8,6,12,15,80,12,15,203,201,98,487,vermelho
12,15,1,3,2,9,13,12,5,9,88,5,14,204,200,97,489,vermelho
20,2,4,11,2,15,4,3,9,3,97,6,12,200,202,200,480,vermelho
1,13,15,14,15,11,6,2,2,20,98,12,5,201,203,202,520,vermelho
14,20,20,14,15,3,7,3,7,9,204,1,11,202,204,203,517,vermelho
13,7,5,4,3,9,14,5,5,13,205,4,3,203,205,204,502,vermelho
98,13,20,200,7,20,20,1,20,80,15,3,99,13,20,20,489,verde
20,14,11,90,6,11,20,200,6,60,13,6,80,5,7,20,439,verde
60,8,5,202,20,20,1,1,12,88,1,11,88,1,2,5,405,verde
201,9,5,77,1,5,13,2,13,87,5,14,70,7,8,4,421,verde
20,15,1,88,6,14,9,99,3,84,6,11,77,6,12,7,448,verde
99,5,20,75,1,14,9,12,20,85,4,7,201,2,2,8,444,verde
15,2,14,76,3,8,8,203,2,99,3,7,97,4,5,12,458,verde
68,14,20,77,13,15,4,14,13,81,11,3,98,20,13,12,456,verde
6,1,2,74,13,11,5,207,7,82,11,4,96,6,15,5,445,verde
88,4,15,71,5,8,4,12,15,83,3,15,95,15,7,6,446,verde
20,20,4,99,20,15,1,99,7,84,14,15,94,20,7,1,480,verde
77,8,9,90,11,8,20,2,2,85,20,15,90,2,12,2,433,verde
12,200,90,3,200,201,8,20,11,12,5,200,8,7,4,6,577,amarelo
2,201,11,2,98,3,99,7,12,12,5,99,5,1,11,5,473,amarelo
2,6,99,14,88,99,3,14,11,11,8,98,6,13,3,11,486,amarelo
4,88,7,2,2,200,201,1,5,4,13,201,4,20,20,6,458,amarelo
12,11,203,8,88,77,6,1,7,20,14,78,2,9,9,8,443,amarelo
3,205,14,7,99,6,66,11,7,13,4,88,1,9,11,3,447,amarelo
14,8,209,8,2,201,200,12,4,1,8,202,6,20,9,9,503,amarelo
3,88,15,13,200,99,5,4,11,7,1,203,4,20,3,1,467,amarelo
15,15,99,8,88,3,99,4,7,13,9,200,4,11,20,3,488,amarelo
3,98,3,3,2,200,201,14,15,13,20,99,6,5,13,2,487,amarelo
1,12,97,15,77,88,15,7,8,2,6,98,3,8,1,13,451,amarelo
13,98,6,11,2,99,202,13,14,12,7,97,20,8,20,3,505,amarelo
11,7,99,7,202,200,15,15,2,1,11,96,3,15,1,12,497,amarelo
9,201,9,9,11,99,88,7,11,9,14,95,15,6,14,9,506,amarelo
5,5,200,15,207,200,5,9,11,4,5,201,6,3,13,6,495,amarelo
7,77,20,8,200,6,200,11,7,12,15,200,4,13,4,7,481,amarelo
14,5,2,12,4,3,13,2,1,4,200,4,13,200,99,98,474,vermelho
14,8,6,6,6,6,3,3,6,9,201,3,8,204,201,99,483,vermelho
14,14,13,6,11,4,13,2,3,15,99,7,4,205,202,97,509,vermelho
6,6,8,7,14,20,7,6,7,5,204,4,20,206,203,200,503,vermelho
